"id","name","description","category_id","image"
"18","TPM3D P3200 HL","Selective laser sintering High-resolution 3D printing machine for Ploymeres","5","infrastructure/ASMP/AM/sls.png"
"20","3D Systems ProX 300","Industrial grade Metal powder Laser Powder-bed Fusion 3D printing machine","5","infrastructure/ASMP/AM/pro_x300.png"
"22","SLM solution 125HL","Accurate high power metal 3D printing for low powder volume applications","5","infrastructure/ASMP/AM/slm.png"
"23","KUDO3D","Kudo3D ultra high resolution DLP printers, for microfluidics, micromachining, biomedical, dental, engineering and jewelry.","5","infrastructure/ASMP/AM/KUDO3D.png"
"24","Volumic","Professional and high performance Multi-material FDM 3D printer","5","infrastructure/ASMP/AM/volumic.png"
"26","INTAMSYS FUNMAT PRO","INTAMSYS FUNMAT PRO 410 is an industrial additive manufacturing 3D printer. It features a dual","5","infrastructure/ASMP/AM/intramsys.png"
"30","MY1224 Surface grinding machine","It achieves smooth finishes on flat surfaces with a spinning abrasive wheel.","7","infrastructure/ASMP/SM/my1224_4JK1WDL.png"
"33","Mark Forged","It is a flagship carbon fiber 3D printer that delivers significant business value.","8","infrastructure/ASMP/CM/Mark2_LoNCezF.png"
"21","3D System ProJet","Print parts with CAD accuracy and features as small as 300 microns using the ProJet® MJP 2500 Plus.","5","infrastructure/ASMP/AM/3DSProJet_kmI1rKW.png"
"25","Upmini","A compact FDM 3D printer with dual filtration systems and a tiered print queue.","5","infrastructure/ASMP/AM/upmini_3DrL0zg.png"
"19","HAAS UMC-750SS","The Haas UMC Series offers cost-effective solutions for 3+2 and 5-axis machining.","7","infrastructure/ASMP/SM/cnc5axe_A9l61X7.png"
"32","OPTIMUM BF 20LD VARIO","The Optimum BF20 L Vario is a versatile drilling-milling machine designed for precision work.","7","infrastructure/ASMP/SM/OPTIMUMBF.png"
"34","ADMAFLEX 130","Ir is the world’s first stereo lithography based 3D printer to print metals and ceramics in one platform.","8","infrastructure/ASMP/CM/ADMAFLEX.png"
"31","OPTIMUM TU 2406 V","it is a precision bench lathe for professionals.","7","infrastructure/ASMP/SM/OPTIMUMTU2406V_dobN7MO.png"
"29","HAAS TL1","It  smooths surfaces with a spinning abrasive wheel.","7","infrastructure/ASMP/SM/TL1_trfH81L.png"
"28","4 Axis CNC HAAS VF-2","The Haas TL-1 is a CNC lathe for transitioning from manual machining.","7","infrastructure/ASMP/SM/cnc4axe_Q9uJNFa.png"
"35","BCN3D Sigmax","It is a professional dual-extruder 3D printer with a large build volume for enhanced printing .","8","infrastructure/ASMP/CM/sigmax_oDnuKC4.png"
"36","KJ-HV","It is a box-type electric furnace designed for high-temperature applications.","8","infrastructure/ASMP/CM/furnace_61Nbbvs.png"
"37","KJ-V1700 Fiber-Resin Composites Autoclave","It  cures fiber-resin composites precisely.","8","infrastructure/ASMP/CM/Autoclave-sm_y7I0aNr.png"
"38","Bruker D8 DISCOVER","A versatile X-ray diffraction platform for diverse materials research.","9","infrastructure/ASMP/CH/drx_blv70pH.png"
"40","CAMSIZER X2","A powerful, extremely versatile particle size and shape analyzer with a wide measuring range that combines state-of-the-art camera technology with flexi","9","infrastructure/ASMP/CH/camsizer_nxskFL2.png"
"42","MoPao4S","MoPao4S automatic grinding/polishing machine MoPao® 3S MoPao 3S automatic polishing machine using advanced sample preparation capabilities","9","infrastructure/ASMP/CH/MOPAO4S.png"
"41","TRACTION-MTS","Material Testing System MTS delivers a broad array of testing capabilities for both low and high force static and dynamic testing. By selecting from a variety of force capacities, servovalve flow ratings, pump capacities, software, and other accessories.","9","infrastructure/ASMP/CH/TRACTION_MTS.png"
"44","UNIPOL-820","The WAW-1000D tests metals and non-metals for tensile, compression, and bending.","9","infrastructure/ASMP/CH/UNIPOL-820_fsyt4RC.png"
"45","testest","tetstets","13","infrastructure/MSC/test/Noyl.png"
"46","test2","TESTE2","14","infrastructure/MSC/test2/Capture_décran_30.png"
"47","produit3","produit3","15","infrastructure/PCE/test3/download_1.jpeg"
"48","produit4","produit4","16","infrastructure/PCE/test4/PRINCESS_BULLFROG_BY_TINA_LECOUR_1.jpeg"
"49","produit","produit","18","infrastructure/SAI/test6/ai_art_frog.jpeg"
"50","produit","produoit","17","infrastructure/SAI/test5/Frog_baroque.jpeg"
"51","produit","profuit","19","infrastructure/AIDE/test7/Quirky_Portraits_by_Bill_Mayer_Imagine_Flora_and_Fauna_as_Hig_8CDdmTB.jpeg"
"52","produot","produit","21","infrastructure/RESEE/test8/Frog_in_Peach_Jacket_Animal_Portrait_Print_-_61x91cm___24_x_36in.jpeg"
"53","produot","produoit","22","infrastructure/RESEE/test9/ac7052e4-6167-4913-a7d4-c8911d0b0405.jpeg"
"54","produit","produit","23","infrastructure/BIO/test10/b1374178-5055-4425-98d6-2d02330711e3.jpeg"
"55","produoit","prouidt","24","infrastructure/BIO/test11/Frog_Imagination_Poster_picture_metal_print_paint_by_Keeling__k8ltkQ0.jpeg"